"run","random_seed","tick","MeatMean"
1,517593200,1.0,0.46666666666666684
1,517593200,11.0,0.43333333333333335
1,517593200,21.0,0.5
1,517593200,31.0,0.5
1,517593200,41.0,0.26666666666666666
1,517593200,51.0,0.29999999999999993
1,517593200,61.0,0.5
1,517593200,71.0,0.30000000000000004
1,517593200,81.0,0.36666666666666664
1,517593200,91.0,0.46666666666666673
1,517593200,101.0,0.36666666666666664
1,517593200,111.0,0.4
1,517593200,121.0,0.5333333333333333
1,517593200,131.0,0.39999999999999997
1,517593200,141.0,0.3999999999999999
1,517593200,151.0,0.4666666666666667
1,517593200,161.0,0.4666666666666666
1,517593200,171.0,0.5666666666666669
1,517593200,181.0,0.6333333333333333
1,517593200,191.0,0.7333333333333334
1,517593200,201.0,0.5
1,517593200,211.0,0.5333333333333333
1,517593200,221.0,0.4
1,517593200,231.0,0.5333333333333333
1,517593200,241.0,0.5666666666666667
1,517593200,251.0,0.7333333333333334
1,517593200,261.0,0.4000000000000001
1,517593200,271.0,0.46666666666666673
1,517593200,281.0,0.4666666666666666
1,517593200,291.0,0.5666666666666667
1,517593200,301.0,0.5666666666666667
1,517593200,311.0,0.5
1,517593200,321.0,0.6
1,517593200,331.0,0.6000000000000001
1,517593200,341.0,0.6
1,517593200,351.0,0.4666666666666667
1,517593200,361.0,0.5666666666666668
1,517593200,371.0,0.6
1,517593200,381.0,0.43333333333333335
1,517593200,391.0,0.5000000000000001
1,517593200,401.0,0.4666666666666666
1,517593200,411.0,0.6666666666666666
1,517593200,421.0,0.5000000000000001
1,517593200,431.0,0.6333333333333332
1,517593200,441.0,0.5
1,517593200,451.0,0.5
1,517593200,461.0,0.5333333333333333
1,517593200,471.0,0.43333333333333346
1,517593200,481.0,0.5333333333333334
1,517593200,491.0,0.6333333333333334
