"run","random_seed","tick","MeatMean"
1,520603557,1.0,0.6
1,520603557,11.0,0.4666666666666667
1,520603557,21.0,0.5666666666666667
1,520603557,31.0,0.6
1,520603557,41.0,0.6333333333333333
1,520603557,51.0,0.6333333333333333
1,520603557,61.0,0.6333333333333333
1,520603557,71.0,0.7000000000000001
1,520603557,81.0,0.6
1,520603557,91.0,0.7000000000000001
1,520603557,101.0,0.6666666666666667
1,520603557,111.0,0.6333333333333333
1,520603557,121.0,0.7333333333333334
1,520603557,131.0,0.6333333333333333
1,520603557,141.0,0.6666666666666669
1,520603557,151.0,0.6333333333333333
1,520603557,161.0,0.6333333333333332
1,520603557,171.0,0.6333333333333333
1,520603557,181.0,0.6
1,520603557,191.0,0.6666666666666667
1,520603557,201.0,0.7000000000000001
1,520603557,211.0,0.6666666666666667
1,520603557,221.0,0.7000000000000001
1,520603557,231.0,0.6333333333333333
1,520603557,241.0,0.6666666666666669
1,520603557,251.0,0.6333333333333333
1,520603557,261.0,0.7000000000000001
1,520603557,271.0,0.6333333333333333
1,520603557,281.0,0.6666666666666669
1,520603557,291.0,0.6666666666666667
1,520603557,301.0,0.7000000000000001
1,520603557,311.0,0.6666666666666669
1,520603557,321.0,0.7000000000000001
1,520603557,331.0,0.6666666666666667
1,520603557,341.0,0.7000000000000001
1,520603557,351.0,0.6666666666666667
1,520603557,361.0,0.6666666666666669
1,520603557,371.0,0.6666666666666669
1,520603557,381.0,0.6
1,520603557,391.0,0.6666666666666667
1,520603557,401.0,0.6666666666666667
1,520603557,411.0,0.6666666666666667
1,520603557,421.0,0.6333333333333333
1,520603557,431.0,0.6666666666666669
1,520603557,441.0,0.6666666666666667
1,520603557,451.0,0.6666666666666669
1,520603557,461.0,0.7000000000000001
1,520603557,471.0,0.7000000000000001
1,520603557,481.0,0.6
1,520603557,491.0,0.6333333333333333
